GOLDENXPERIENCE — BINARY FADE V1 ALL-OANDA-FOREX REPLAY
RESEARCH ONLY — no database writes and no production/paper-trading changes.
Run range: 2022-01-01T00:00:00.000Z → 2026-08-28T08:51:00.252Z
Model: binary-fade-v1 v1.0.0; {"rule":"bollinger-band-fade","horizonSeconds":600,"bollinger":{"period":20,"stdev":2},"atrPeriod":14,"minExtensionAtr":1.25,"rsiPeriod":14,"rsiHigh":65,"rsiLow":35,"excludedPairs":["EUR_AUD"],"threshold":0.6,"provenance":"scripts/_binary_push_to_65_stable.ts holdout 67.1% qStd=1.3pp"}
Resolution: first completed M1 midpoint close at or after entry close + 10 minutes; ties remain ties.
Decision constraint: one active binary prediction per instrument.
Selection uses 2024–2026 YTD only. 2022–2023 remains context, not a promotion score.
KEEP: >=100 decided recent trades, >=2 years with >=30 trades, Wilson lower bound above 55.56%, and positive EV80 in >=2 evidence years.
DROP: >=100 decided recent trades, aggregate win rate below 55.56%, and no evidence year with positive EV80. Others are WATCH or UNCERTAIN.

pair	verdict	recent_n	recent_wr	wilson_low	ev80	2024_n/wr	2025_n/wr	2026_n/wr	all_n
GBP_SGD	KEEP	2295	65.05%	63.08%	0.171	751/66.84%	895/63.91%	649/64.56%	4088
EUR_SGD	KEEP	2240	64.60%	62.59%	0.163	879/62.91%	842/64.01%	519/68.40%	4075
EUR_GBP	KEEP	2812	63.58%	61.79%	0.145	1124/65.57%	1050/62.67%	638/61.60%	5070
TRY_JPY	KEEP	2345	63.33%	61.36%	0.140	1196/64.05%	856/64.49%	293/57.00%	5656
SGD_CHF	KEEP	2200	63.27%	61.24%	0.139	759/63.77%	815/63.44%	626/62.46%	4218
GBP_CHF	KEEP	2428	63.10%	61.16%	0.136	945/63.17%	931/61.44%	552/65.76%	4290
CAD_SGD	KEEP	2916	62.35%	60.57%	0.122	1040/61.44%	1108/63.63%	768/61.72%	4643
GBP_PLN	KEEP	3316	61.64%	59.97%	0.110	1216/60.36%	1151/61.77%	949/63.12%	6755
EUR_TRY	KEEP	3921	61.11%	59.57%	0.100	2083/62.03%	1440/60.90%	398/57.04%	8225
EUR_NZD	KEEP	2616	60.97%	59.09%	0.097	1025/57.95%	911/61.14%	680/65.29%	4686
USD_TRY	KEEP	8254	60.95%	59.89%	0.097	4474/60.64%	2941/61.54%	839/60.55%	16017
GBP_AUD	KEEP	2244	60.87%	58.84%	0.096	809/59.46%	902/59.53%	533/65.29%	3949
NZD_SGD	KEEP	2837	60.84%	59.03%	0.095	979/56.79%	1035/60.00%	823/66.71%	5106
GBP_NZD	KEEP	2432	60.77%	58.82%	0.094	904/57.41%	899/62.74%	629/62.80%	4207
NZD_CHF	KEEP	2859	60.62%	58.81%	0.091	1064/59.40%	1101/59.49%	694/64.27%	4926
CHF_ZAR	KEEP	4913	60.45%	59.08%	0.088	2389/59.77%	1588/60.08%	936/62.82%	9244
EUR_CHF	KEEP	3377	60.38%	58.72%	0.087	1430/61.96%	1106/57.41%	841/61.59%	6280
SGD_JPY	KEEP	2895	60.35%	58.55%	0.086	1209/59.39%	1056/60.42%	630/62.06%	5330
EUR_ZAR	KEEP	5400	60.31%	59.00%	0.086	2705/59.26%	1613/61.75%	1082/60.81%	9890
NZD_CAD	KEEP	2912	60.20%	58.41%	0.084	1070/58.41%	1028/60.41%	814/62.29%	4900
GBP_ZAR	KEEP	4673	59.98%	58.57%	0.080	2177/58.93%	1518/60.21%	978/61.96%	8601
GBP_CAD	KEEP	2708	59.97%	58.11%	0.079	917/61.29%	1074/59.59%	717/58.86%	4413
AUD_CHF	KEEP	2721	59.90%	58.05%	0.078	905/60.99%	1085/57.97%	731/61.42%	4619
NZD_JPY	KEEP	3024	59.76%	58.00%	0.076	1157/58.25%	1031/57.32%	836/64.83%	5203
AUD_JPY	KEEP	2856	59.73%	57.92%	0.075	1116/57.71%	1049/58.44%	691/64.98%	5145
CHF_JPY	KEEP	2782	59.53%	57.69%	0.071	1028/59.73%	1033/58.47%	721/60.75%	5002
